_time;Cantidad;Material_Descripcion;Material_ItemLargo;Orden;Proceso;Unidad;Unidad_qc;Material_Descripcion_qc;Orden_qc;Material_ItemLargo_qc;Cantidad_qc;Proceso_qc
2024-07-01T10:07:32.668Z;12.475;COBERT CHOCOLATE LECHE B-O-B;50200500006;48454510;decomiso;kg;1;1;1;1;1;1
2024-07-01T10:28:29.590Z;1.425;FLEX BB HAMLET LECHE 13 GR;60100644589;48034066;scrap;kg;1;1;1;1;1;1
2024-07-01T15:43:17.290Z;7.16;BOM BOB CHOCO 16G LT JAP-DESEN;50200314311;48361058;decomiso;kg;1;1;1;1;1;1
2024-07-01T15:45:17.100Z;27.75;COBERT.SEMIAM. P/BOB JAPON CBE;50200622171;48361058;decomiso;kg;1;1;1;1;1;1
2024-07-01T15:50:11.989Z;0.325;FLEX BOB CHOC 16G JAP-22 MENJS;60100644183;48361058;scrap;kg;1;1;1;1;1;1
2024-07-01T16:03:42.877Z;13.7;RELL ALF BOB -LOW TRANS-UE;50200721529;48839511;decomiso;kg;1;1;1;1;1;1
2024-07-01T16:05:11.676Z;13.65;BOM CHOC BOB 16G-MSJ-JAP-ENVUE;50200221721;48361058;decomiso;kg;1;1;1;1;1;1
2024-07-01T17:40:35.613Z;0;DISP BOB CHOC 480G JAP22 MENJS;61200210312;48361058;scrap;kg;1;1;1;1;1;1
2024-07-01T18:10:43.907Z;160.7;BOM BOB DARK 15G-CHINA ENVUELT;50200216719;48410430;decomiso;kg;1;1;1;1;1;1
2024-07-01T20:18:47.946Z;16.325;DISP BOB CHOC 480G JAP22 MENJS;61200210312;48361100;scrap;kg;1;1;1;1;1;1
2024-07-02T00:31:45.577Z;1.575;FLEX BOB CHOC 16G JAP-22 MENJS;60100644183;48361100;scrap;kg;1;1;1;1;1;1
2024-07-02T00:33:11.664Z;25.45;BOM BOB CHOCO 16G LT JAP-DESEN;50200314311;48361100;decomiso;kg;1;1;1;1;1;1
2024-07-02T08:17:29.217Z;13.575;DISP BOB CHOC 480G JAP22 MENJS;61200210312;48361100;scrap;kg;1;1;1;1;1;1
2024-07-02T08:35:35.207Z;0.675;FLEX BOB CHOC 16G JAP-22 MENJS;60100644183;48361100;scrap;kg;1;1;1;1;1;1
2024-07-02T08:36:32.861Z;24.54;BOM BOB CHOCO 16G LT JAP-DESEN;50200314311;48361100;decomiso;kg;1;1;1;1;1;1
2024-07-02T10:46:31.343Z;441.7;BOM CHOC BOB 16G-MSJ-JAP-ENVUE;50200221721;48361100;decomiso;kg;1;1;1;1;1;1
2024-07-02T16:24:46.406Z;20.84;BOM BOB CHOCO 16G LT JAP-DESEN;50200314311;48361058;decomiso;kg;1;1;1;1;1;1
2024-07-02T16:26:18.912Z;3.3;FLEX BOB CHOC 16G JAP-22 MENJS;60100644183;48361058;scrap;kg;1;1;1;1;1;1
2024-07-02T17:18:57.428Z;398;BOM.BOB CHOC 12X30X16G TROQUEL;402382;48361058;reproceso;kg;1;1;1;1;1;1
2024-07-02T17:24:11.899Z;504;BOM BOB CHOCO 16G LT JAP-DESEN;9705;48361058;reproceso;kg;1;1;1;1;1;1
2024-07-02T17:35:13.111Z;566;RELLENO  SUAVE  B-O-B JAPON;9706;48361049;reproceso;kg;1;1;1;1;1;1
2024-07-02T17:39:17.129Z;576;BOM BOB CHOCO 16G LT JAP-DESEN;9705;48361058;reproceso;kg;1;1;1;1;1;1
2024-07-02T17:47:44.889Z;359;RELLENO BON O BON AGUILA M.I;402382;48410430;reproceso;kg;1;1;1;1;1;1
2024-07-02T18:37:50.042Z;541;BOM BOB CHOCO 16G LT JAP-DESEN;9705;48361058;reproceso;kg;1;1;1;1;1;1
2024-07-02T19:16:40.152Z;502.3;COBERT.SEMIAM. P/BOB JAPON CBE;50200622171;48361058;decomiso;kg;1;1;1;1;1;1
2024-07-02T19:45:23.635Z;0.875;FLEX BOB CHOC 16G JAP-22 MENJS;60100644183;48361058;scrap;kg;1;1;1;1;1;1
